Claart,Fecncre,Cant,Clacli,Clatipcli
03PP10020,19/04/21,6.2,MRS2043,0
03PR22520,19/04/21,6.6,MRS2043,0
01EST1515,20/04/21,16.0,MRS644,14
03TM182,20/04/21,94.0,TTS901,1
01EST1515,21/04/21,25.0,MRSZI046,0
03P10018,23/04/21,8.0,MRSZI046,0
06CLA2,24/04/21,25.0,MRSZI046,0
05ADAPHC12,24/04/21,3.0,MRS2043,0
05ADAPMC12,24/04/21,6.0,MRS2043,0
05COD4S2,24/04/21,1.0,MRS2043,0
05CODCP9012,24/04/21,10.0,MRS2043,0
05COPCP12,24/04/21,10.0,MRS2043,0
05TEECPVCC12,24/04/21,5.0,MRS2043,0
05TUBCPV12,24/04/21,61.0,MRS2043,0
03ANG18112,26/04/21,5.9,MOQR63,1
03SOL141211,27/04/21,3.8,MRSZI046,0
04BISA112,27/04/21,2.0,MRSZI046,0
05TUBPVCAC10,29/04/21,1.0,MRS2157,0
03SOL316112,29/04/21,13.5,MRSZI046,0
0644242,29/04/21,1.0,MRS2043,0
06MANAS230,29/04/21,2.9,MRS2043,0
01EST1520,30/04/21,15.0,MRSZI090,0
01CEMBIG,03/05/21,2.0,CARF94,0
03PTR32C14,04/05/21,22.0,MRSZI0114,0
01ALREC,06/05/21,71.2,TOGA74,1
03PTR3314,06/05/21,34.0,OEMC74,0
03PTR3314,06/05/21,5.9,OEMC74,0
01CEMCAZ50,08/05/21,1.0,MRS2043,0
01EST1525,10/05/21,10.0,MRSZI0014,0
01BAB15,10/05/21,6.0,OEMI,1
03PC10018,11/05/21,5.8,CERE89,1
03PR22518,11/05/21,33.6,MRS2043,0
05TEEPVC4,12/05/21,1.0,MRS2043,0
03PP40018,12/05/21,14.0,MRS2043,0
03P10018,12/05/21,8.0,MRS2043,0
01CEMCAZ50,13/05/21,1.0,MRSZI046,0
05CONIN34,14/05/21,2.0,MRS2043,0
05MULCVETU,14/05/21,1.0,MRS2043,0
03VRED12,14/05/21,12.8,MRSZI046,0
01ARM123,15/05/21,9.0,MRS2043,0
03PL410316,17/05/21,280.0,TTS901,1
01CEMCAZ50,20/05/21,1.0,MRSZI046,0
03TAB33,22/05/21,12.4,MRSZI046,0
06CLA2,22/05/21,3.0,MRS2043,0
03POL88,24/05/21,86.4,MRS2378,0
GTRAS,24/05/21,1.0,MRS2378,0
05COFG381,24/05/21,1.0,MRS2043,0
03R249C18,25/05/21,102.6,MRSZI046,0
05CODPVCH3445,28/05/21,5.0,MRS2043,0
05CODPVCH3490,28/05/21,15.0,MRS2043,0
05COPPVCH34,28/05/21,15.0,MRS2043,0
05TUBPVCHA34,28/05/21,17.0,MRS2043,0
03k30018,29/05/21,16.0,MRS2043,0
03LN31018,29/05/21,2.0,MRSZI046,0
05CODPVC445,31/05/21,1.0,MRS2043,0
05CODPVC490,31/05/21,1.0,MRS2043,0
05TEEPVC42,31/05/21,1.0,MRS2043,0
05YEEPVC4,31/05/21,3.0,MRS2043,0
03PTR32C14,01/06/21,22.0,MRS2043,0
01EST1515,01/06/21,19.0,MRS2043,0
03PR20020,02/06/21,12.8,MRS2043,0
01ARM1543,03/06/21,10.0,MRSZI046,0
05NIPPI2,03/06/21,1.0,MRS2043,0
06CLA212,03/06/21,3.0,MRSZI0035,0
05ADAPMPVH112,05/06/21,3.0,MRS2043,0
05CODPVH4011290,05/06/21,10.0,MRS2043,0
05RBPH1121,05/06/21,1.0,MRS2043,0
05TEEPVCH112,05/06/21,1.0,MRS2043,0
05TG112,05/06/21,1.0,MRS2043,0
05TPVCHC112,05/06/21,4.0,MRS2043,0
05TUBCPV12,05/06/21,48.8,MRS2043,0
05REGUS,04/06/21,1.0,MRS2043,0
04PAS4,04/06/21,2.0,MRSZI046,0
03PR20020,05/06/21,6.4,MRSZI046,0
03121CH18,05/06/21,16.0,CASM88,1
04HDD412,08/06/21,6.0,MRS2043,0
03SOL1812,08/06/21,2.0,EARC55,0
06MACI1051,08/06/21,6.0,VIZM61,1
01MALSOL10,09/06/21,3.75,MRS2043,0
03VCAR12,09/06/21,30.8,MRS2043,0
04PRR5,09/06/21,1.0,MRS2043,0
06YESKG,11/06/21,10.0,MRSZI046,0
01TAR,14/06/21,6.0,MRSZI0087,0
03M22520,14/06/21,5.8,EAMF78,1
05CONPL12,16/06/21,6.0,GVR99,0
0610068,16/06/21,1.0,GVR99,0
03VRED12,16/06/21,3.8,MEPJ79,0
03VRED12,16/06/21,2.6,MRS2043,0
01EST1525,17/06/21,0.7,MRS2043,0
03LN31022,22/06/21,2.0,SAP61,3
03LN41022,22/06/21,2.0,SAP61,3
03M22520Z,23/06/21,17.4,PECJ96,14
01CEMCAZ50,23/06/21,1.0,MRSZI046,0
01ES,23/06/21,1.0,MRSZI046,0
03TM182,28/06/21,9.4,MRSZI046,0
01VAR38,28/06/21,80.0,MRS2043,0
0549639,29/06/21,2.0,MRSZI046,0
01ARM204,29/06/21,10.0,MRS2043,0
08CAB12,29/06/21,200.0,MOCG95,0
02ANGA,30/06/21,18.0,MRS2043,0
03122ES18,01/07/21,15.2,MOQR63,1
03103TS20Z,01/07/21,12.8,MRSZI046,0
05CIN06BASIC,01/07/21,2.0,MRS2157,0
01CEMBIG,01/07/21,2.0,MRSZI032,0
02EPP6305,05/07/21,24.0,MOCG95,0
06PIJ8112,05/07/21,195.0,MOCG95,0
02ECAG6305,05/07/21,20.0,MOCG95,0
03VCUA12,06/07/21,7.0,MRSZI046,0
01BLO12,08/07/21,50.0,MRSZI046,0
01CEMCAZ50,09/07/21,3.0,MRSZI046,0
01BLO15,13/07/21,800.0,MRSZI046,0
01COMB34,13/07/21,3.0,MRSZI046,0
04CHPAV,15/07/21,1.0,MRS2043,0
03M22520,15/07/21,11.6,MRS2043,0
