Claart,Fecfac,Cant,Clacli,Clatipcli
01CEMCAZ50,13/09/19,10.0,MRSZI022,0
05CAJP,09/09/19,30.0,PSP14,0
01CEMCAZ50,09/09/19,10.0,MRSZI022,0
01CEMCAZ50,10/09/19,10.0,MRSZI022,0
01CEMCAZ50,11/09/19,5.0,MRSZI022,0
01BLS15,13/09/19,520.0,MEPB63,0
01CEMCAZ50,14/09/19,10.0,MRSZI022,0
01CEMAGR,14/09/19,3.77,MAAG76,1
01CEMAGR,14/09/19,13.15,MAAG76,1
01CEMCAZ50,17/09/19,5.0,MRSZI022,0
01CEMCAZ50,17/09/19,10.0,MRSZI022,0
05CODPVC490,20/09/19,4.0,MRS139,3
05PEGAD120,20/09/19,1.0,MRS139,3
05REDPVC64,20/09/19,1.0,MRS139,3
05TUBPVCN6,20/09/19,6.0,MRS139,3
01CEMCAZ50,20/09/19,15.0,MRSZI022,0
01CEMCAZ50,21/09/19,5.0,MRS2043,0
06ESPA12,21/09/19,1.0,MRS2043,0
03POL46,23/09/19,20.0,MRS2043,0
03PTR3314,23/09/19,53.6,MRS2043,0
04HDDC412,23/09/19,2.0,MRS2043,0
01CEMAGR,08/10/19,18.0,MAAG76,1
01CEMCAZ50,24/01/20,10.0,MRSZI0026,0
08TUER12,28/09/19,8.0,MRS2043,0
08TUER58,28/09/19,8.0,MRS2043,0
03POL1214,30/09/19,192.0,MRS2043,0
01CEMAGR,02/10/19,40.33,MAAG76,1
01ARM204,02/10/19,5.0,MRSZI0017,0
01CEMAGR,05/10/19,5.59,MAAG76,1
01VAR38,04/10/19,50.0,MRS2043,0
01CEMAGR,04/10/19,19.03,MAAG76,1
01VAR34R,14/10/19,38.0,gco02,0
01VAR58R,14/10/19,22.0,gco02,0
04HSI2110,16/10/19,20.0,MRSZI025,0
04HSO1818,16/10/19,40.0,MRSZI025,0
01ARM124,17/10/19,10.0,MAAG76,1
03VIPR10858,22/10/19,1198.0,MRS2043,0
01CEMAGR,24/10/19,1.54,TOMJ86,0
01CEMCAZ50,23/10/19,100.0,gco02,0
01ARM1538,26/10/19,18.0,MAAG76,1
02ECLE305,21/12/19,123.0,MRS2043,0
02TOR812,21/12/19,1000.0,MRS2043,0
03LAR10126675,23/10/19,43.0,MRSZI025,0
03POL66,23/10/19,1450.0,MRSZI025,0
03VRED12,23/10/19,50.0,MRSZI025,0
03VRED12,23/10/19,106.0,MRSZI025,0
04HPPB141,23/10/19,2000.0,MRSZI025,0
05CODPVC490,23/10/19,6.0,MRSZI025,0
05TUBPVCN4,23/10/19,36.0,MRSZI025,0
06ESPA12,23/10/19,20.0,MRSZI025,0
06PES300T,23/10/19,6.0,MRSZI025,0
08RON12,23/10/19,200.0,MRSZI025,0
08TUER12,23/10/19,200.0,MRSZI025,0
01CEMAGR,23/10/19,18.46,TOMJ86,0
01CEMCAZ50,23/12/19,120.0,OERA46,1
05CISRP500,29/10/19,1.0,MARA76,0
01BLS15,04/11/19,197.0,MARA76,0
01BLS15,04/11/19,153.0,MARA76,0
03TAB38Z,06/11/19,60.51,MRS2043,0
01ARM124,12/11/19,85.0,CPC1112,0
01CEMCAZ50,12/11/19,40.0,CPC1112,0
06PL4,12/11/19,21.0,CPC1112,0
GTRAS,12/11/19,1.0,CPC1112,0
01ALREC,13/11/19,69.2,MRSZI036,0
01VAR38,13/11/19,500.0,MRSZI036,0
06CEPBU,13/11/19,1.0,MRSZI036,0
06CLA212,13/11/19,25.0,MRSZI036,0
06CLA4,13/11/19,7.0,MRSZI036,0
06CLAC212,13/11/19,7.0,MRSZI036,0
01CEMCAZ50,14/11/19,100.0,gco02,0
01CEMCAZ50,21/11/19,280.0,MRSZI036,0
03LAR10126675,21/11/19,5.0,MRSZI025,0
05ADAPMPK12,27/11/19,12.0,PSP14,0
05TUBKIT,27/11/19,100.0,PSP14,0
05TUBPVCN4,27/11/19,30.0,PSP14,0
03LG41024,27/11/19,12.0,MRSZI025,0
01CEMCAZ50,28/11/19,100.0,gco02,0
01CEMCAZ50,29/11/19,100.0,OERA46,1
01BAB1030,22/04/20,296.5,MRSZI0055,0
01CEMCAZ50,05/12/19,100.0,OERA46,1
03LA10126350,05/12/19,1.0,MRSZI025,0
03LA10126500,05/12/19,1.0,MRSZI025,0
06CLA212,05/12/19,25.0,JURF73,0
01ALREC,06/12/19,50.0,MRS2043,0
01BLO15,06/12/19,800.0,MRS2043,0
01CEMCAZ50,06/12/19,60.0,MRS2043,0
01MALSOL10,06/12/19,100.0,MRS2043,0
01VAR38,06/12/19,152.0,MRS2043,0
06CLA212,06/12/19,20.0,MRS2043,0
06CLA4,06/12/19,5.0,MRS2043,0
06CLAC212,06/12/19,2.0,MRS2043,0
06PL4,06/12/19,40.0,MRS2043,0
08CAJCHR,06/12/19,32.0,MRS2043,0
08CAJO,06/12/19,15.0,MRS2043,0
08POL1234,06/12/19,100.0,MRS2043,0
GTRAS,06/12/19,1.0,MRS2043,0
01CEMAGR,06/12/19,34.23,MAAG76,1
01CEMBIG,06/12/19,0.6,MAAG76,1
01CEMBIG,06/12/19,4.0,MAAG76,1
01CEMAGR,06/12/19,8.35,MAAG76,1
