Claart,Cant,Dias_Totales,Clapro
04HSO11332,20.75,11,INF89
04HSO1318,42.0,10,CAL9908
04HSO13332,14.5,9,CAL9908
04HSO1818,47.0,4,INF89
04HTAQ14,2281.0,18,THE7911
04HTAQ38,253.0,8,THE7911
04HTAQ516,96.0,4,THE7911
04HTEJ1,8.0,2,HHI05
04HTEJ112,26.0,7,HHI05
04HTEJ114,26.0,7,HHI05
04HTEJ2,20.0,5,HHI05
04HTEJ3,4.0,1,HHI05
04HVC,3.0,2,HHI05
04HVO11,9.0,5,HHI05
04HVO12,1.0,1,HHI05
04L470IB,1.0,1,UHP90
04L570DCB,2.0,1,UHP90
04L570ICB,1.0,1,UHP90
04MAMERO,2.0,1,HHI05
04MANTUB,1.0,1,HHI05
04MARC,26.0,11,HHI05
04MDG163,22.0,1,HHI05
04MENS1214,5.0,2,THE7911
04NC14,32.0,2,THE7911
04PAS4,12.0,5,HHI05
04PAS7,5.0,3,HHI05
04PE300,1.0,1,HHI05
04PICG12,6.0,4,HHI05
04PIJHEX,4.0,1,
04PINACANJ3,16.0,1,FAR88
04PLABP,3.0,1,
04PRR5,4.0,1,HHI05
04REM31612ALAN,200.0,3,THE7911
04S104,1.0,1,UHP90
04SAG,56.0,6,HHI05
04TMOS105,17.0,3,HHI05
04TMOS120,11.0,6,HHI05
04TMOS60,5.0,1,HHI05
04TMOS75,0.55,1,HHI05
04TMOS90,20.0,5,HHI05
04TMRG,3.5,2,HHI05
04TMRG122,3.5,2,HHI05
0512517,4.0,1,
0518075,1.0,1,THE7911
052259,4.0,1,GFE00
052264,17.0,3,GFE00
0529030,1.0,1,THE7911
0544372,2.0,1,PIM78
0545046,2.0,2,THE7911
0545272,1.0,1,THE7911
0545750,3.0,1,THE7911
0546031,1.0,1,THE7911
0547431,1.0,1,THE7911
0548605,24.0,2,THE7911
0549182,2.0,1,THE7911
0549365,6.0,3,THE7911
05ABRASF28,15.0,2,THE7911
05ABRASF8,23.0,2,THE7911
05ABRTO1,30.0,2,THE7911
05ABRTO12,10.0,1,THE7911
05ABRU12,62.0,4,THE7911
05ADAPCHPVC,3.0,2,DDS15
05ADAPH34,4.0,1,THE7911
05ADAPHC12,7.0,4,THE7911
05ADAPHH12,15.0,4,DDS15
05ADAPHPK12,1.0,1,DDS15
05ADAPIM1,3.0,2,DDS15
05ADAPIM12,10.0,4,DDS15
05ADAPMC12,27.0,4,THE7911
05ADAPMPH1,5.0,1,DDS15
05ADAPMPH12,15.0,3,DDS15
05ADAPMPK12,10.0,2,DDS15
05ANCLAV,2.0,1,GFE00
05AO2,81.0,4,THE7911
05ASRED,1.0,1,THE7911
05BIO1300,1.0,1,ROT78
05BLW,15.0,4,GFE00
05BRIDAFNM,22.0,4,GFE00
05BRIDFM,1.0,1,GFE00
05CAIP6,2.0,1,
05CHU1122,4.0,3,THE7911
05CI2,1.0,1,DDS15
05CILIG4,1.0,1,GFE00
05CISTDR500,3.0,1,ROT78
05COCP1,2.0,1,THE7911
05CODC1245,6.0,1,THE7911
05CODC1290,21.0,5,THE7911
05CODC3490CX,7.0,1,THE7911
05CODCP9012,74.0,6,THE7911
05CODCP9034,4.0,2,THE7911
05CODCRI12,2.0,2,THE7911
05CODGALV1290,20.0,3,GFE00
05CODIN12,3.0,2,DDS15
05CODPL12,121.0,13,ROT78
05CODPL34,121.0,9,ROT78
05CODPL4512,29.0,5,ROT78
05CODPL4534,15.0,1,ROT78
05CODPLH,3.0,2,ROT78
05CODPVC245,12.0,3,DDS15
05CODPVC290,133.0,12,DDS15
05CODPVC345,13.0,5,DDS15
05CODPVC390,37.0,9,DDS15
05CODPVC445,25.0,7,DDS15
05CODPVC490,86.0,15,DDS15
05CODPVC690,5.0,2,DDS15
05CODPVCH12,50.0,6,DDS15
05CODPVCH3490,7.0,2,DDS15
05CODPVR401,1.0,1,GFE00
05COFF,11.0,2,THE7911
05COFG3838,1.0,1,THE7911
05COFG383815,2.0,2,THE7911
05COFG38383,1.0,1,THE7911
