Claart,Fecfac,Cant
08TUER12,28/09/19,8.0
08TUER58,28/09/19,8.0
03POL1214,30/09/19,192.0
01CEMAGR,02/10/19,40.33
01ARM204,02/10/19,5.0
01CEMAGR,05/10/19,5.59
01VAR38,04/10/19,50.0
01CEMAGR,04/10/19,19.03
01CEMAGR,05/10/19,34.53
01VAR34R,14/10/19,38.0
01VAR58R,14/10/19,22.0
04HSI2110,16/10/19,20.0
04HSO1818,16/10/19,40.0
03PC10020,17/10/19,234.6
03PR17520,17/10/19,270.0
04HDCM14,17/10/19,1.0
04HSI2176,17/10/19,5.0
0611674,17/10/19,1.0
0611688,17/10/19,1.0
01ARM124,17/10/19,10.0
03VIPR10858,22/10/19,1198.0
01CEMAGR,24/10/19,1.54
01CEMCAZ50,23/10/19,100.0
01ARM1538,26/10/19,18.0
02ECLE305,21/12/19,123.0
02TOR812,21/12/19,1000.0
03LAR10126675,23/10/19,43.0
03POL66,23/10/19,1450.0
03VRED12,23/10/19,50.0
03VRED12,23/10/19,106.0
04HPPB141,23/10/19,2000.0
05CODPVC490,23/10/19,6.0
05TUBPVCN4,23/10/19,36.0
06ESPA12,23/10/19,20.0
06PES300T,23/10/19,6.0
08RON12,23/10/19,200.0
08TUER12,23/10/19,200.0
01CEMAGR,23/10/19,18.46
01CEMCAZ50,23/12/19,120.0
05CISRP500,29/10/19,1.0
03ANG18112,30/10/19,11.4
03TC40112,30/10/19,1.0
03TM182,30/10/19,27.0
05TANB,30/10/19,1.0
05TAZB,30/10/19,1.0
01CEMAGR,04/11/19,20.54
01BLS15,04/11/19,197.0
01BLS15,04/11/19,153.0
03TAB38Z,06/11/19,60.51
01ALREC,06/11/19,1.0
01CEMCAZ50,06/11/19,1.0
01EST1525,06/11/19,2.8
01VAR38,06/11/19,2.0
03ANG1834,06/11/19,5.6
04DISCAU778,06/11/19,10.0
04HDCM14,06/11/19,2.0
0611688,06/11/19,1.0
0621606,06/11/19,1.0
01CEMBIG,08/11/19,2.0
01CEMAGR,09/11/19,40.22
01ARM124,12/11/19,85.0
01CEMCAZ50,12/11/19,40.0
06PL4,12/11/19,21.0
GTRAS,12/11/19,1.0
01CEMAGR,13/11/19,13.55
01ALREC,13/11/19,69.2
01VAR38,13/11/19,500.0
06CEPBU,13/11/19,1.0
06CLA212,13/11/19,25.0
06CLA4,13/11/19,7.0
06CLAC212,13/11/19,7.0
01CEMCAZ50,14/11/19,100.0
01CEMAGR,15/11/19,2.69
01CEMCAZ50,19/11/19,360.0
01CEMCAZ50,21/11/19,280.0
03LAR10126675,21/11/19,5.0
05ADAPMPK12,27/11/19,12.0
05TUBKIT,27/11/19,100.0
05TUBPVCN4,27/11/19,30.0
03LG41024,27/11/19,12.0
01CEMCAZ50,28/11/19,100.0
01CEMCAZ50,29/11/19,100.0
01CEMAGR,04/12/19,18.69
01BAB1030,22/04/20,296.5
01CEMBIG,05/12/19,4.0
01CEMCAZ50,05/12/19,100.0
03LA10126350,05/12/19,1.0
03LA10126500,05/12/19,1.0
06CLA212,05/12/19,25.0
01CEMBIG,05/12/19,4.0
