"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncar","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","SRVDC16","354.57","1","0","yes","0","16","0","1042895","0","ZINC0115","ZI022275","yes","0","","0",""
"1","SRVDC16","80","1","0","yes","0","16","0","1098541","0","ZINC0116","ZI024279","yes","0","","0",""
"1","SRVDC16","100","1","0","yes","0","16","0","1098818","0","ZINC0117","ZI024287","yes","0","","0",""
"1","SRVDC16","1490","1","0","yes","0","16","0","1108730","0","ZINC0118","ZI019200","yes","0","","0",""
"1","SRVDC16","128","1","0","yes","0","16","0","1110871","0","ZINC0119","ZI024421","yes","0","","0",""
"1","SRVDC16","2991.24","1","0","yes","0","16","0","1115269","0","ZINC0120","ZI023816","yes","0","","0",""
"1","SRVDC16","62.76","1","0","yes","0","16","0","1115272","0","ZINC0121","ZI024147","yes","0","","0",""
"1","SRVDC16","120","1","0","yes","0","16","0","1139372","0","ZINC0122","ZI025116","yes","0","","0",""
"1","SRVDC16","25","1","0","yes","0","16","0","1166177","0","ZINC0123","ZI025574","yes","0","","0",""
"1","SRVDC16","500","1","0","yes","0","16","0","1183253","0","ZINC0124","ZI025957","yes","0","","0",""
"1","SRVDC16","600","1","0","yes","0","16","0","1214402","0","ZINC0125","ZI026748","yes","0","","0",""
"1","SRVDC16","120","1","0","yes","0","16","0","1217195","0","ZINC0126","ZI026568","yes","0","","0",""
"1","SRVDC16","665","1","0","yes","0","16","0","1220162","0","ZINC0127","ZI026860","yes","0","","0",""
"1","SRVDC16","228","1","0","yes","0","16","0","1225007","0","ZINC0128","ZI026998","yes","0","","0",""
"1","SRVDC16","600","1","0","yes","0","16","0","1233697","0","ZINC0129","ZI027146","yes","0","","0",""
"1","SRVDC16","529","1","0","yes","0","16","0","1246355","0","ZINC0130","ZI027325","yes","0","","0",""
"1","SRVDC16","1680.6","1","0","yes","0","16","0","1250597","0","ZINC0131","ZI027571","yes","0","","0",""
"1","SRVDC16","1680.6","1","0","yes","0","16","0","1250762","0","ZINC0132","ZI026571","yes","0","","0",""
"1","SRVDC16","60","1","0","yes","0","16","0","1251198","0","ZINC0133","ZI027411","yes","0","","0",""
"1","SRVDC16","1452","1","0","yes","0","16","0","1253845","0","ZINC0134","ZI026042","yes","0","","0",""
"1","SRVDC16","460","1","0","yes","0","16","0","1258585","0","ZINC0135","ZI027728","yes","0","","0",""
"1","SRVDC16","863.35","1","0","yes","0","16","0","1262500","0","ZINC0136","ZI026573","yes","0","","0",""
"1","SRVDC16","486","1","0","yes","0","16","0","1263746","0","ZINC0137","ZI027431","yes","0","","0",""
"1","SRVDC16","2000","1","0","yes","0","16","0","1263781","0","ZINC0138","ZI027822","yes","0","","0",""
"1","SRVDC16","1500","1","0","yes","0","16","0","1264259","0","ZINC0139","ZI027751","yes","0","","0",""
"1","SRVDC16","6000","1","0","yes","0","16","0","1267999","0","ZINC0140","ZI027846","yes","0","","0",""
"1","SRVDC16","1000","1","0","yes","0","16","0","1280577","0","ZINC0141","ZI028123","yes","0","","0",""
"1","SRVDC16","1641.6","1","0","yes","0","16","0","1283124","0","ZINC0142","ZI027838","yes","0","","0",""
"1","SRVDC16","4100","1","0","yes","0","16","0","1289497","0","ZINC0143","ZI028188","yes","0","","0",""
"1","SRVDC16","497","1","0","yes","0","16","0","1290134","0","ZINC0144","ZI028346","yes","0","","0",""
"1","SRVDC16","1500","1","0","yes","0","16","0","1299179","0","ZINC0145","ZI028515","yes","0","","0",""
"1","SRVDC16","776","1","0","yes","0","16","0","1299873","0","ZINC0146","ZI028412","yes","0","","0",""
"1","SRVDC16","172.58","1","0","yes","0","16","0","1305750","0","ZINC0147","ZI028291","yes","0","","0",""
"1","SRVDC16","669.58","1","0","yes","0","16","0","1308080","0","ZINC0148","ZI027168","yes","0","","0",""
"1","SRVDC16","100","1","0","yes","0","16","0","1315377","0","ZINC0149","ZI028598","yes","0","","0",""
"1","SRVDC16","1000","1","0","yes","0","16","0","1316619","0","ZINC0150","ZI028913","yes","0","","0",""
