"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Pedren","peso","Numfac","Numped","canfon","unaen","claofe","bannc","claofe2","preofe","claofe3","claaalt","Clauni","cant2","preven","objimp"
"1","01LADRIDLL","5","1600","0","yes","3.2","16","0","916391","0","0","ZINS0104","","0","no","0","no","0","0","0","","1","0","0",""
"1","01LADRIDLL","5","400","0","yes","3.2","16","0","916399","0","0","ZINS0105","","0","no","0","no","0","0","0","","1","0","0",""
"1","01LADRIDLL","5","720","0","yes","3.2","16","0","916450","0","0","ZINS0106","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2500","4","0","yes","2026.9228","16","0","918667","0","0","ZINS0107","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2500","4","0","yes","2026.9228","16","0","918761","0","0","ZINS0108","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2500","4","0","yes","2026.9228","16","0","918839","0","0","ZINS0109","","0","no","0","no","0","0","0","","1","0","0",""
"1","05ABRPVC312","55","5","0","yes","37.73173","16","0","919041","0","0","ZINS0110","","0","no","0","no","0","0","0","","1","0","0",""
"1","05SILL124","150","7","0","yes","78.11453","16","0","919051","0","0","ZINS0111","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2350","14.09","0","yes","2051.71995","16","0","919281","0","0","ZINS0112","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2350","1.86","0","yes","2051.71995","16","0","919649","0","0","ZINS0113","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2250","40.06","0","yes","2051.71995","16","0","920922","0","0","ZINS0114","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM124","118","144","0","yes","94.47","16","0","922408","0","0","ZINS0115","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2250","40.4","0","yes","2051.71995","16","0","924659","0","0","ZINS0116","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM1538","240","40","0","yes","190.95008","16","0","925600","0","0","ZINS0117","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM1543","120","100","0","yes","83.249","16","0","926883","0","0","ZINS0118","","0","no","0","no","0","0","0","","1","0","0",""
"2","01CEMCAZ50","140","43","0","yes","109.914","16","0","926883","0","0","ZINS0118","","0","no","0","no","0","0","0","","1","0","0",""
