"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncre","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"9","0644412",".232","1000","0","yes",".13","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"10","06PIJ834",".232","1000","0","yes",".18","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"11","06TC","959.9928","2","0","yes","661.20689","16","0","890466","0","ZID00941","ZI019943","yes","0","","0",""
"1","01ARM204","150","124","0","yes","85.425","16","0","891432","0","ZID00942","ZI020021","yes","0","","0",""
"2","01BLO15","9.5","1000","0","yes","5.8621","16","0","891432","0","ZID00942","ZI020021","yes","0","","0",""
"3","01CEMCAZ50","144","30","0","yes","110.776","16","0","891432","0","ZID00942","ZI020021","yes","0","","0",""
"4","01SON20","127","2","0","yes","87.69","16","0","891432","0","ZID00942","ZI020021","yes","0","","0",""
"5","01SON25","171","2","0","yes","115.47","16","0","891432","0","ZID00942","ZI020021","yes","0","","0",""
"6","01SON30","224","2","0","yes","151.15","16","0","891432","0","ZID00942","ZI020021","yes","0","","0",""
"1","06GRAPG","35.2","10","0","yes","23.78879","16","0","891751","0","ZID00943","ZI020011","yes","0","","0",""
"1","01ALAM","17","50","0","yes","12.9","16","0","895988","0","ZID00944","ZI020125","yes","0","","0",""
"2","01ALREC","19","100","0","yes","14.9","16","0","895988","0","ZID00944","ZI020125","yes","0","","0",""
"3","01VAR38","103","300","0","yes","84.4352","16","0","895988","0","ZID00944","ZI020125","yes","0","","0",""
"1","01CAS651","27","200","0","yes","16.9999","16","0","896729","0","ZID00945","ZI020069","yes","0","","0",""
"1","01ARM1543","120","20","0","yes","94.47","16","0","898956","0","ZID00946","ZI020188","yes","0","","0",""
"2","01CEMCAZ50","145","10","0","yes","110.776","16","0","898956","0","ZID00946","ZI020188","yes","0","","0",""
"3","03POL36","22.6","91.2","0","yes","15.9","16","0","898956","0","ZID00946","ZI020188","yes","0","","0",""
"1","0545046","291.5","1","0","yes","193.37","16","0","899272","0","ZID00947","ZI020198","yes","0","","0",""
"1","01TAR","200","2","0","yes","135","16","0","899723","0","ZID00948","ZI020046","yes","0","","0",""
"1","01CEMBIG","2500","2","0","yes","2018.047","16","0","900867","0","ZID00949","ZI020163","yes","0","","0",""
"1","01EC25","100","80","0","yes","58.19975","16","0","902949","0","ZID00955","ZI020299","yes","0","","0",""
"1","01CEMCAZ50","138","100","0","yes","110.776","16","0","904933","0","ZID00952","ZI020321","yes","0","","0",""
"1","02COMPP","415","2","0","yes","258.99","16","0","906626","0","ZID00950","ZI020265","yes","0","","0",""
"2","02PERM","495","6","0","yes","326.71","16","0","906626","0","ZID00950","ZI020265","yes","0","","0",""
"3","02PWRFR58","158","6","0","yes","105.99","16","0","906626","0","ZID00950","ZI020265","yes","0","","0",""
"1","01CEMCAZ50","145","30","0","yes","110.776","16","0","908163","0","ZID00951","ZI020310","yes","0","","0",""
"2","06CLA212","23","25","0","yes","17.085","16","0","908163","0","ZID00951","ZI020310","yes","0","","0",""
"3","06CLAC212","39","20","0","yes","27.825","16","0","908163","0","ZID00951","ZI020310","yes","0","","0",""
"4","08POL1234","7","100","0","yes","3.79399","16","0","908163","0","ZID00951","ZI020310","yes","0","","0",""
"1","01CEMBIG","2500","2","0","yes","2025.309","16","0","909807","0","ZID00953","ZI020354","yes","0","","0",""
"1","01BOV13","110","12","0","yes","58","16","0","910799","0","ZID00954","ZI020372","yes","0","","0",""
"1","0614607","162","1","0","yes","105.8112","16","0","912144","0","ZID00956","ZI020396","yes","0","","0",""
"1","04HTAQ38",".5","50","0","yes",".2918","16","0","912487","0","ZID00957","ZI020406","yes","0","","0",""
"2","06PIJ8112",".5","50","0","yes",".3","16","0","912487","0","ZID00957","ZI020406","yes","0","","0",""
"1","01CEMBIG","2500","2","0","yes","2026.9228","16","0","914370","0","ZID00958","ZI020441","yes","0","","0",""
"2","01CEMCAZ50","140","80","0","yes","109.914","16","0","914370","0","ZID00958","ZI020441","yes","0","","0",""
"1","03RIEL18","26.4","7.4","0","yes","20.2","16","0","916850","0","ZID00959","ZI020505","yes","0","","0",""
"1","01ARM123","102","4","0","yes","84.42","16","0","917539","0","ZID00960","ZI020526","yes","0","","0",""
"2","01B15B","9.5","1000","0","yes","5.94828","16","0","917539","0","ZID00960","ZI020526","yes","0","","0",""
"3","01CEMCAZ50","144","30","0","yes","109.914","16","0","917539","0","ZID00960","ZI020526","yes","0","","0",""
"4","01VAR112","186","20","0","yes","149.051","16","0","917539","0","ZID00960","ZI020526","yes","0","","0",""
"1","03LAR72C26305","525","1","0","yes","195.2","16","0","918316","0","ZID00961","ZI020483","yes","0","","0",""
"1","01ES","100","50","0","yes","68.97","16","0","918695","0","ZID00962","ZI020559","yes","0","","0",""
"1","01CEMBIG","2500","2","0","yes","2026.9228","16","0","918699","0","ZID00963","ZI020556","yes","0","","0",""
"1","01CEMCAZ50","140.1869","107","0","yes","109.914","16","0","920169","0","ZID00964","ZI020419","yes","0","","0",""
