"Clapro","Refori","Fecfac","Fecven","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Numfac","Facpro","Mfondo","Numuser","nusercan"
"CCACDM","","05/03/16","05/03/16","105039.76","yes","90551.52","0","0","0","16","0","0","58905","00000155","4281898","0","0","0"
"DTDSL","","05/03/16","05/03/16","422.24","yes","364","0","0","0","16","0","0","58909","00000156","1898","0","0","0"
"DDS15","","05/03/16","05/03/16","2372.41","yes","2045.18","0","0","0","16","0","0","58914","00000157","1190","0","0","0"
"DDS15","","05/03/16","05/03/16","7752.31","yes","6683.03","0","0","0","16","0","0","58927","00000158","1189","0","0","0"
"AAL05","","05/03/16","05/03/16","9601.09","yes","8276.8","0","0","0","16","0","0","58969","00000159","12146","0","0","0"
"APO69","","05/03/16","05/03/16","179703.72","yes","154917","0","0","0","16","0","0","58976","00000160","22320","0","0","0"
"AAL05","","05/03/16","05/03/16","112969.5","yes","97387.5","0","0","0","16","0","0","58997","00000161","12149","0","0","0"
"THE7911","","05/03/16","05/03/16","14019.77","yes","12086.01","0","0","0","16","0","0","59030","00000162","31846043","0","0","0"
"TIS97","","05/03/16","05/03/16","10179","yes","8775","0","0","0","16","0","0","55824","00000163","9786","0","0","0"
"ROGD81","","07/03/16","07/03/16","13206.6","yes","11385","0","0","0","16","0","0","55865","00000164","416","0","0","0"
"CCS74","","07/03/16","07/03/16","75557.58","yes","0","75557.58","0","0","0","0","0","55897","00000165","1303","0","0","0"
"SAC09","","08/03/16","08/03/16","278653.46","yes","240218.5","0","0","0","16","0","0","55948","00000166","FM17381","0","0","0"
"CAM00","","08/03/16","08/03/16","19527.44","yes","16834","0","0","0","16","0","0","55959","00000167","28786","0","0","0"
"TUB00","","10/03/16","10/03/16","34351.72","yes","29613.55","0","0","0","16","0","0","55692","00000168",".","0","0","0"
"YC050","","10/03/16","10/03/16","30995.2","yes","26720","0","0","0","16","0","0","57906","00000169","CMF59668","0","0","0"
"CCA95","","10/03/16","10/03/16","101234.83","yes","87271.4","0","0","0","16","0","0","57926","00000170","4330859","0","0","0"
"RE7804","","10/03/16","10/03/16","17388.4","yes","14990","0","0","0","16","0","0","55920","00000171","20","0","0","0"
"CCAZ95","","10/03/16","10/03/16","108120.22","yes","93207.09","0","0","0","16","0","0","57981","00000172","4330665","0","0","0"
"REF07","","10/03/16","10/03/16","49850.04","yes","42974.17","0","0","0","16","0","0","57996","00000173",".","0","0","0"
"RAMA55","","10/03/16","10/03/16","75100","no","0","75100","0","0","0","0","0","58016","00000174",".","0","0","0"
"DTRM","","11/03/16","11/03/16","3990","yes","0","3990","0","0","0","0","0","58087","00000175","RFA1041","0","0","0"
"CQM66","","12/03/16","12/03/16","51782.4","yes","44640","0","0","0","16","0","0","55061","00000176",".","0","0","0"
"AEM87","","14/03/16","14/03/16","17991.6","yes","15510","0","0","0","16","0","0","50972","00000177","8333","0","0","0"
"DEA710","","14/03/16","14/03/16","320902.87","yes","276640.41","0","0","0","16","0","0","50981","00000178","G255297","0","0","0"
"SABE79","","14/03/16","14/03/16","140","yes","0","140","0","0","0","0","0","50993","00000179","1806","0","0","0"
"CCA95","","14/03/16","14/03/16","111434.96","yes","96064.62","0","0","0","16","0","0","51024","00000180","4324636","0","0","0"
"OEVJ71","","14/03/16","14/03/16","5999.98","yes","5172.4","0","0","0","16","0","0","51029","00000181","0026","0","0","0"
"CFI93","","14/03/16","14/03/16","1097.59","yes","946.2","0","0","0","16","0","0","51044","00000182","4585","0","0","0"
"CTS98","","15/03/16","15/03/16","11037.11","yes","9514.75","0","0","0","16","0","0","51112","00000183","2631","0","0","0"
"OEVJ71","","15/03/16","15/03/16","5999.98","yes","5172.4","0","0","0","16","0","0","51146","00000184","0028","0","0","0"
"CCA95","","18/03/16","18/03/16","111434.96","yes","96064.62","0","0","0","16","0","0","52005","00000185","4324627","0","0","0"
"DEA710","","18/03/16","18/03/16","11571.72","yes","9975.62","0","0","0","16","0","0","52019","00000186","I392643","0","0","0"
"DEA710","","18/03/16","18/03/16","8668.89","yes","7473.18","0","0","0","16","0","0","52032","00000187","I392677","0","0","0"
"RAMA55","","18/03/16","18/03/16","75100","yes","8103.45","65700","0","0","16","0","0","52040","00000188",".","0","0","0"
"CCACDM","","19/03/16","19/03/16","115260.24","yes","99362.28","0","0","0","16","0","0","51457","00000189","4332541","0","0","0"
"CCA95","","21/03/16","21/03/16","96051.04","yes","82802.62","0","0","82056.02","16","0","0","51595","00000190","4325472-4346078","0","0","0"
"IUS98","","21/03/16","21/03/16","13993.08","no","12063","0","0","0","16","0","0","51655","00000191","252038","0","0","0"
"IUS98","","21/03/16","21/03/16","4005.95","no","3453.4","0","0","0","16","0","0","51667","00000192","252039","0","0","0"
"IUN39","","22/03/16","22/03/16","4005.95","yes","3453.4","0","0","0","16","0","0","50755","00000193","252039","0","0","0"
"IUN39","","22/03/16","22/03/16","13993.08","yes","12063","0","0","0","16","0","0","50775","00000194","252038","0","0","0"
"FLU99","","22/03/16","22/03/16","141922.75","yes","122347.2","0","0","0","16","0","0","50806","00000195","20066","0","0","0"
"DEA710","","22/03/16","22/03/16","192823.37","yes","166227.04","0","0","0","16","0","0","50814","00000196","I393422","0","0","0"
"CCA95","","23/03/16","23/03/16","111434.96","yes","96064.62","0","0","0","16","0","0","55750","00000197","4324625","0","0","0"
"GPXA","","24/03/16","24/03/16","16650","yes","0","16650","0","0","0","0","0","52267","00000198",".","0","0","0"
"CCA95","","28/03/16","28/03/16","111434.96","yes","96064.62","0","0","0","16","0","0","52279","00000199","4324624","0","0","0"
"ROT78","","29/03/16","29/03/16","29472.6","yes","25407.41","0","0","0","16","0","0","54881","00000200","1500143511","0","0","0"
"ROT78","","29/03/16","29/03/16","9645.91","yes","8315.44","0","0","0","16","0","0","54890","00000201","1500143513","0","0","0"
"CAM00","","29/03/16","29/03/16","24655.1","yes","21254.4","0","0","0","16","0","0","54903","00000202","29541","0","0","0"
"CCA95","","29/03/16","29/03/16","111434.96","yes","96064.62","0","0","0","16","0","0","54930","00000203","4324640","0","0","0"
"AAL05","","29/03/16","29/03/16","20871.65","yes","17992.8","0","0","0","16","0","0","54934","00000204",".","0","0","0"
"CCA95","","30/03/16","30/03/16","111434.96","yes","96064.62","0","0","0","16","0","0","54987","00000205","4324621","0","0","0"
"DEA710","","01/04/16","01/04/16","35813.36","yes","30873.59","0","0","0","16","0","0","56689","00000206","I394045","0","0","0"
"THE7911","","01/04/16","01/04/16","5051.62","yes","4354.85","0","0","0","16","0","0","56744","00000207","31910807","0","0","0"
"DEA710","","01/04/16","01/04/16","38163.84","yes","32899.86","0","0","0","16","0","0","50627","00000208","I393663","0","0","0"
"DDS15","","01/04/16","01/04/16","6472.97","yes","5580.15","0","0","0","16","0","0","56429","00000209","1709","0","0","0"
"MDC81","","02/04/16","02/04/16","19500.76","yes","16811","0","0","0","16","0","0","56516","00000210","15718","0","0","0"
"DEA710","","02/04/16","02/04/16","22383.35","yes","19295.99","0","0","0","16","0","0","56521","00000211","394174","0","0","0"
"CCA95","","02/04/16","02/04/16","111434.96","yes","96064.62","0","0","0","16","0","0","56538","00000212","4324620","0","0","0"
"CCA95","","02/04/16","02/04/16","64355.34","yes","55478.74","0","0","0","16","0","0","56543","00000213","4325471","0","0","0"
"CCA95","","02/04/16","02/04/16","36696.46","yes","31634.88","0","0","0","16","0","0","56550","00000214","4356283","0","0","0"
"DEA710","","04/04/16","04/04/16","43616","yes","37600","0","0","0","16","0","0","53629","00000215","I394175","0","0","0"
"TOCJ8","","04/04/16","04/04/16","4560.01","yes","3931.04","0","0","0","16","0","0","57686","00000216","894","0","0","0"
"CCAZ95","","06/04/16","06/04/16","118320","yes","102000","0","0","0","16","0","0","57518","00000217","4357137","0","0","0"
"CCA95","","06/04/16","06/04/16","111434.96","yes","96064.62","0","0","0","16","0","0","57550","00000218",".","0","0","0"
"DEA710","","06/04/16","06/04/16","81699.23","yes","70430.37","0","0","0","16","0","0","57621","00000219","I394386","0","0","0"
"TOCJ8","","07/04/16","07/04/16","9120.01","yes","7862.08","0","0","0","16","0","0","58788","00000220","938","0","0","0"
"THE7911","","07/04/16","07/04/16","7924.48","yes","6831.45","0","0","0","16","0","0","58809","00000221","31922039","0","0","0"
"CCA95","","08/04/16","08/04/16","111434.96","yes","96064.62","0","0","0","16","0","0","50586","00000222","4353341","0","0","0"
"TOCJ8","","08/04/16","08/04/16","4560.01","yes","3931.04","0","0","0","16","0","0","55119","00000223","952","0","0","0"
"TOCJ8","","08/04/16","08/04/16","4560.01","yes","3931.04","0","0","0","16","0","0","55312","00000224","960","0","0","0"
