"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Numfac","Numped","Pedren","canfon"
"1","06ALAPJ34","482.3998","146","0","yes","482.3998","16","0","57621","00000219","","0","0"
"1","01BLO15","4.9138","800","0","yes","5.1724","16","0","57686","00000216","","0","0"
"1","01YEM","33.4","800","0","yes","37.8","16","0","57906","00000169","","0","0"
"1","01CEMCAZ50","85.5602","1020","0","yes","88.7933","16","0","57926","00000170","","0","0"
"1","01CEMZ","91.3795","1020","0","yes","83.39","16","0","57981","00000172","","0","0"
"1","01CHF25","11853.4482","1","0","yes","10810.35","16","0","57996","00000173","","0","0"
"2","01MTC12","12025.87","1","0","yes","0","16","0","57996","00000173","","0","0"
"3","01LI5S","7870.69","1","0","yes","0","16","0","57996","00000173","","0","0"
"4","01MI","10344.83","1","0","yes","0","16","0","57996","00000173","","0","0"
"5","01KCC","879.3362","1","0","yes","0","16","0","57996","00000173","","0","0"
"1","01MOT","65700","1","0","yes","0","0","0","58016","00000174","","0","0"
"2","01IMOT","9400","1","0","yes","0","0","0","58016","00000174","","0","0"
"1","01SM","9.5","420","0","yes","9.5","0","0","58087","00000175","","0","0"
"1","03POL36","11.11666","33661","0","yes","11.1166","16","0","58313","00000151","","0","0"
"1","01BAB1030","5.6","4224","0","yes","4.2","16","0","58342","00000332","","0","0"
"1","05YEEPVCR42","7.842","180","0","yes","7.5747","16","0","58355","00000152","","0","0"
"1","01HC","15.5172","127","0","yes","8.6122","16","0","58609","00000147","","0","0"
"1","01MALSOL10","9.3279","7500","0","yes","9.1455","16","0","58615","00000148","","0","0"
"1","01CEMCAZ50","85.976","1020","0","yes","83.39","16","0","58631","00000149","","0","0"
"1","01CEMM","88.77599","1020","0","yes","87.052","16","0","58636","00000150","","0","0"
"1","01BLO15","4.9138","1600","0","yes","4.9138","16","0","58788","00000220","","0","0"
"1","0610234","83.9124","3","0","yes","72.2387","16","0","58809","00000221","","0","0"
"2","0610615","100.7028","4","0","yes","0","16","0","58809","00000221","","0","0"
"3","0610759","171.4779","2","0","yes","0","16","0","58809","00000221","","0","0"
"4","0611752","499.9411","2","0","yes","0","16","0","58809","00000221","","0","0"
"5","06CARR5","477.9522","2","0","yes","0","16","0","58809","00000221","","0","0"
"6","06CAT60ND","529.03062","2","0","yes","0","16","0","58809","00000221","","0","0"
"7","0611979","215.2656","2","0","yes","0","16","0","58809","00000221","","0","0"
"8","0614958","134.9964","2","0","yes","0","16","0","58809","00000221","","0","0"
"9","0614962","127.7001","2","0","yes","0","16","0","58809","00000221","","0","0"
"10","0617160","76.6161","3","0","yes","0","16","0","58809","00000221","","0","0"
